# d32/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Chan022MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan022PadOn001,hardware-control,input pad relay
Chan023AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan023Color001,surface-state,strip colour on the surface
Chan023CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan023Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan023DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan023InsertOn001,hardware-control,analogue insert relay
Chan023Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan023MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan023Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan023PadOn001,hardware-control,input pad relay
Chan024AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan024Color001,surface-state,strip colour on the surface
Chan024CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan024Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan024DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan024InsertOn001,hardware-control,analogue insert relay
Chan024Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan024MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan024Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan024PadOn001,hardware-control,input pad relay
Chan025AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan025Color001,surface-state,strip colour on the surface
Chan025CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan025Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan025DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan025InsertOn001,hardware-control,analogue insert relay
Chan025Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan025MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan025Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan025PadOn001,hardware-control,input pad relay
Chan026AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan026Color001,surface-state,strip colour on the surface
Chan026CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan026Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan026DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan026InsertOn001,hardware-control,analogue insert relay
Chan026Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan026MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan026Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan026PadOn001,hardware-control,input pad relay
Chan027AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan027Color001,surface-state,strip colour on the surface
Chan027CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan027Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan027DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan027InsertOn001,hardware-control,analogue insert relay
Chan027Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan027MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan027Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan027PadOn001,hardware-control,input pad relay
Chan028AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan028Color001,surface-state,strip colour on the surface
Chan028CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan028Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan028DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan028InsertOn001,hardware-control,analogue insert relay
Chan028Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan028MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan028Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan028PadOn001,hardware-control,input pad relay
Chan029AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan029Color001,surface-state,strip colour on the surface
Chan029CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan029Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan029DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan029InsertOn001,hardware-control,analogue insert relay
Chan029Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan029MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan029Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan029PadOn001,hardware-control,input pad relay
Chan030AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan030Color001,surface-state,strip colour on the surface
Chan030CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan030Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan030DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan030InsertOn001,hardware-control,analogue insert relay
Chan030Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan030MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan030Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan030PadOn001,hardware-control,input pad relay
Chan031AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan031Color001,surface-state,strip colour on the surface
Chan031CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan031Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan031DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan031InsertOn001,hardware-control,analogue insert relay
Chan031Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan031MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan031Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan031PadOn001,hardware-control,input pad relay
Chan032AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan032Color001,surface-state,strip colour on the surface
Chan032CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan032Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan032DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan032InsertOn001,hardware-control,analogue insert relay
Chan032Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan032MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan032Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan032PadOn001,hardware-control,input pad relay
Dca001Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca002Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca003Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca004Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca005Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca006Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca007Name001,label,"text label; the host stores it, the DSP has no word for it"
Dca008Name001,label,"text label; the host stores it, the DSP has no word for it"
Fdr001Grp001,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp002,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp003,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp004,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp005,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp006,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp007,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp008,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp009,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp010,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp011,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp012,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp013,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp014,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp015,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp016,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp017,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp018,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp019,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp020,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp021,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp022,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp023,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp024,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp025,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp026,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp027,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp028,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp029,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp030,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp031,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr001Grp032,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp001,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp002,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp003,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp004,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp005,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp006,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp007,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr002Grp008,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
